gc 1 @0.166s 0%: 0.22+2.3+0.074+0.76+0.56 ms clock, 0.45+2.3+0+0.55/0.59/0+1.1 ms cpu, 5->5->1 MB, 4 MB goal, 4 P
gc 2 @0.191s 1%: 0.019+1.4+0.058+1.3+0.24 ms clock, 0.076+1.4+0+0.28/1.1/0+0.96 ms cpu, 4->4->1 MB, 5 MB goal, 4 P
gc 3 @0.252s 1%: 0.018+2.1+0.074+2.1+0.22 ms clock, 0.075+2.1+0+0.68/2.0/0+0.91 ms cpu, 4->4->2 MB, 4 MB goal, 4 P
gc 4 @0.280s 1%: 0.034+2.5+0.054+2.3+0.18 ms clock, 0.13+2.5+0+0.38/2.1/0+0.74 ms cpu, 4->5->4 MB, 4 MB goal, 4 P
gc 5 @0.306s 2%: 0.021+3.3+0.20+1.7+0.23 ms clock, 0.087+3.3+0+1.5/1.5/0+0.93 ms cpu, 6->7->4 MB, 7 MB goal, 4 P
gc 6 @0.369s 2%: 0.019+4.0+0.040+2.7+0.25 ms clock, 0.076+4.0+0+0.71/2.5/0+1.0 ms cpu, 7->8->5 MB, 7 MB goal, 4 P
gc 7 @0.409s 2%: 0.024+5.1+0.057+2.5+0.27 ms clock, 0.096+5.1+0+1.6/2.3/0+1.1 ms cpu, 9->10->5 MB, 9 MB goal, 4 P
gc 8 @0.472s 3%: 0.025+5.2+0.17+2.5+0.27 ms clock, 0.10+5.2+0+2.1/2.3/0+1.0 ms cpu, 9->10->7 MB, 10 MB goal, 4 P
gc 9 @0.516s 3%: 0.024+5.9+0.041+2.2+0.27 ms clock, 0.098+5.9+0+2.8/2.1/0+1.1 ms cpu, 13->13->7 MB, 13 MB goal, 4 P
gc 10 @0.555s 3%: 0.033+7.0+0.031+1.2+0.31 ms clock, 0.13+7.0+0+4.0/0.98/0+1.2 ms cpu, 13->14->10 MB, 13 MB goal, 4 P
gc 11 @0.598s 4%: 0.036+6.8+0.045+1.0+0.36 ms clock, 0.14+6.8+0+4.4/0.87/0+1.4 ms cpu, 17->18->9 MB, 18 MB goal, 4 P
gc 12 @0.634s 4%: 0.035+7.3+0.018+0.14+0.60 ms clock, 0.14+7.3+0+5.4/0.018/0+2.4 ms cpu, 17->18->10 MB, 17 MB goal, 4 P
gc 13 @0.691s 4%: 0.047+7.0+0.019+0.17+0.35 ms clock, 0.18+7.0+0+5.6/0.027/0+1.4 ms cpu, 18->19->10 MB, 19 MB goal, 4 P
gc 14 @0.720s 4%: 0.17+6.1+0.092+0.18+0.39 ms clock, 0.69+6.1+0+6.2/0.042/0+1.5 ms cpu, 18->19->10 MB, 19 MB goal, 4 P
gc 15 @0.759s 5%: 0.034+6.3+0.087+0.20+0.49 ms clock, 0.13+6.3+0+6.0/0.041/0+1.9 ms cpu, 17->18->10 MB, 18 MB goal, 4 P
gc 16 @0.802s 5%: 0.024+5.6+0.052+0.22+0.47 ms clock, 0.099+5.6+0+5.6/0.029/0.26+1.9 ms cpu, 18->18->10 MB, 18 MB goal, 4 P
gc 17 @0.838s 5%: 0.12+6.7+0.32+2.6+0.46 ms clock, 0.51+6.7+0+8.2/2.3/0+1.8 ms cpu, 18->19->9 MB, 18 MB goal, 4 P
gc 18 @0.868s 5%: 0.031+4.3+0.12+4.7+0.41 ms clock, 0.12+4.3+0+3.2/4.3/0+1.6 ms cpu, 16->17->7 MB, 16 MB goal, 4 P
gc 19 @0.898s 5%: 0.055+3.2+0.22+2.7+0.37 ms clock, 0.22+3.2+0+3.2/2.4/0+1.4 ms cpu, 13->14->6 MB, 14 MB goal, 4 P
gc 20 @0.931s 5%: 0.064+1.9+0.033+3.0+0.28 ms clock, 0.25+1.9+0+2.4/2.6/0+1.1 ms cpu, 11->12->5 MB, 11 MB goal, 4 P
gc 21 @0.951s 5%: 0.030+1.3+0.051+3.7+0.19 ms clock, 0.12+1.3+0+1.5/3.5/0+0.79 ms cpu, 8->8->3 MB, 8 MB goal, 4 P
gc 22 @0.965s 6%: 0.033+0.91+0.064+3.0+0.19 ms clock, 0.13+0.91+0+1.7/2.9/0+0.78 ms cpu, 5->6->3 MB, 5 MB goal, 4 P
gc 23 @0.978s 6%: 0.031+0.63+0.017+3.5+0.21 ms clock, 0.12+0.63+0+1.2/3.3/0+0.87 ms cpu, 4->5->3 MB, 4 MB goal, 4 P
gc 24 @0.988s 6%: 0.14+0.76+0.041+3.4+0.18 ms clock, 0.57+0.76+0+2.3/3.1/0.12+0.72 ms cpu, 4->5->3 MB, 4 MB goal, 4 P
gc 25 @0.996s 6%: 0.024+0.52+0.028+2.4+0.31 ms clock, 0.098+0.52+0+0.36/2.3/2.4+1.2 ms cpu, 4->4->2 MB, 4 MB goal, 4 P
gc 26 @1.028s 6%: 0.024+0.46+0.022+3.6+0.38 ms clock, 0.097+0.46+0+0.48/3.5/0+1.5 ms cpu, 4->4->2 MB, 4 MB goal, 4 P
gc 27 @1.079s 6%: 0.031+0.47+0.094+1.7+0.19 ms clock, 0.12+0.47+0+0.005/1.6/3.7+0.77 ms cpu, 4->4->2 MB, 4 MB goal, 4 P
gc 28 @1.138s 5%: 0.048+0.42+0.002+2.6+0.16 ms clock, 0.19+0.42+0+0.17/2.4/4.4+0.67 ms cpu, 5->7->5 MB, 4 MB goal, 4 P
gc 29 @1.144s 5%: 0.26+0.27+0.26+1.4+0.28 ms clock, 1.0+0.27+0+0/1.3/2.5+1.1 ms cpu, 9->9->6 MB, 6 MB goal, 4 P
gc 30 @1.296s 5%: 0.049+0.41+0.012+1.8+0.35 ms clock, 0.19+0.41+0+0/1.7/3.4+1.4 ms cpu, 9->9->2 MB, 12 MB goal, 4 P
gc 31 @1.340s 5%: 0.074+0.31+0.002+1.0+0.20 ms clock, 0.29+0.31+0+0.062/0.99/1.7+0.81 ms cpu, 4->4->1 MB, 5 MB goal, 4 P
gc 32 @1.362s 5%: 0.31+1.1+0.21+1.0+0.34 ms clock, 1.2+1.1+0+1.2/0.78/0.79+1.3 ms cpu, 4->5->2 MB, 4 MB goal, 4 P
gc 33 @1.366s 5%: 0.10+0.29+0.26+1.1+0.18 ms clock, 0.41+0.29+0+0.46/0.97/1.1+0.72 ms cpu, 4->4->1 MB, 5 MB goal, 4 P
gc 34 @1.376s 5%: 0.032+2.3+0.043+0.32+0.27 ms clock, 0.12+2.3+0+3.5/0.18/0+1.1 ms cpu, 4->4->2 MB, 5 MB goal, 4 P
gc 35 @1.381s 5%: 0.063+0.96+1.1+2.1+0.26 ms clock, 0.25+0.96+0+2.2/2.0/0+1.0 ms cpu, 4->5->2 MB, 5 MB goal, 4 P
gc 36 @1.388s 5%: 0.023+2.0+0.097+2.0+0.31 ms clock, 0.095+2.0+0+2.7/1.6/0+1.2 ms cpu, 4->5->4 MB, 6 MB goal, 4 P
gc 37 @1.394s 5%: 0.033+2.1+0.016+1.2+0.30 ms clock, 0.13+2.1+0+3.6/1.1/0+1.2 ms cpu, 5->6->4 MB, 4 MB goal, 4 P
gc 38 @1.399s 5%: 0.021+4.8+0.017+0.27+0.63 ms clock, 0.087+4.8+0+4.8/0.004/0.021+2.5 ms cpu, 5->6->4 MB, 6 MB goal, 4 P
gc 39 @1.405s 6%: 0.077+3.9+0.013+0.30+0.64 ms clock, 0.31+3.9+0+4.9/0.025/0.003+2.5 ms cpu, 5->7->5 MB, 7 MB goal, 4 P
gc 40 @1.412s 6%: 0.020+4.5+0.010+0.12+0.58 ms clock, 0.080+4.5+0+5.6/0.001/0.025+2.3 ms cpu, 6->8->7 MB, 8 MB goal, 4 P
gc 41 @1.418s 6%: 0.022+4.7+0.10+0.22+0.67 ms clock, 0.091+4.7+0+6.1/0.12/0+2.7 ms cpu, 8->10->7 MB, 10 MB goal, 4 P
gc 42 @1.427s 6%: 0.43+4.9+0.001+0.20+0.55 ms clock, 1.7+4.9+0+5.8/0.007/0.11+2.2 ms cpu, 11->12->9 MB, 11 MB goal, 4 P
gc 43 @1.438s 6%: 0.040+6.0+0.009+0.17+1.1 ms clock, 0.16+6.0+0+6.5/0.011/0+4.5 ms cpu, 16->17->11 MB, 16 MB goal, 4 P
gc 44 @1.452s 7%: 0.10+6.3+0.018+0.14+0.81 ms clock, 0.42+6.3+0+5.9/0.015/0+3.2 ms cpu, 20->21->11 MB, 21 MB goal, 4 P
gc 45 @1.466s 7%: 0.045+6.1+0.067+0.18+0.69 ms clock, 0.18+6.1+0+6.9/0/0.17+2.7 ms cpu, 19->20->10 MB, 20 MB goal, 4 P
gc 46 @1.480s 7%: 0.037+5.8+0.077+0.24+0.83 ms clock, 0.15+5.8+0+8.7/0/0.016+3.3 ms cpu, 17->19->9 MB, 18 MB goal, 4 P
gc 47 @1.491s 7%: 0.040+5.7+0.060+0.10+0.65 ms clock, 0.16+5.7+0+7.2/0.001/0.11+2.6 ms cpu, 15->16->9 MB, 16 MB goal, 4 P
gc 48 @1.505s 7%: 0.031+5.6+0.12+0.15+0.71 ms clock, 0.12+5.6+0+7.6/0.012/0.16+2.8 ms cpu, 16->17->8 MB, 17 MB goal, 4 P
gc 49 @1.520s 8%: 0.088+6.5+0.30+0.24+0.79 ms clock, 0.35+6.5+0+8.4/0.017/0.080+3.1 ms cpu, 14->16->11 MB, 15 MB goal, 4 P
gc 50 @1.533s 8%: 0.061+5.1+0.16+0.25+0.64 ms clock, 0.24+5.1+0+8.3/0.020/0.057+2.5 ms cpu, 19->21->11 MB, 20 MB goal, 4 P
gc 51 @1.544s 8%: 0.048+4.4+0.016+0.11+0.39 ms clock, 0.19+4.4+0+8.1/0.003/0.076+1.5 ms cpu, 17->18->8 MB, 17 MB goal, 4 P
gc 52 @1.553s 8%: 0.054+4.2+0.16+0.66+0.38 ms clock, 0.21+4.2+0+7.9/0.48/0+1.5 ms cpu, 13->14->7 MB, 13 MB goal, 4 P
gc 53 @1.563s 8%: 0.071+2.9+0.22+1.2+0.43 ms clock, 0.28+2.9+0+6.7/1.1/0+1.7 ms cpu, 12->13->6 MB, 13 MB goal, 4 P
gc 54 @1.573s 9%: 0.054+2.2+0.15+1.6+4.9 ms clock, 0.21+2.2+0+5.7/1.6/0+19 ms cpu, 10->11->5 MB, 10 MB goal, 4 P
gc 55 @1.586s 9%: 0.069+4.5+1.3+0.48+0.41 ms clock, 0.27+4.5+0+9.8/0.26/0+1.6 ms cpu, 8->9->6 MB, 8 MB goal, 4 P
gc 56 @1.598s 9%: 0.039+2.7+0.043+1.0+0.28 ms clock, 0.15+2.7+0+6.8/1.0/0+1.1 ms cpu, 10->11->5 MB, 10 MB goal, 4 P
gc 57 @1.605s 9%: 0.062+0.95+0.037+2.6+0.17 ms clock, 0.25+0.95+0+3.6/2.6/0.52+0.68 ms cpu, 8->9->4 MB, 8 MB goal, 4 P
gc 58 @1.611s 10%: 4.5+0.74+0.061+5.9+0.30 ms clock, 18+0.74+0+5.0/5.4/0.002+1.2 ms cpu, 6->7->4 MB, 6 MB goal, 4 P
gc 59 @1.627s 10%: 0.032+0.28+0.46+4.2+0.19 ms clock, 0.13+0.28+0+1.7/4.0/0.013+0.76 ms cpu, 6->6->3 MB, 6 MB goal, 4 P
gc 60 @1.636s 10%: 0.043+1.2+0.018+1.5+0.18 ms clock, 0.17+1.2+0+1.3/1.4/2.1+0.72 ms cpu, 6->7->4 MB, 5 MB goal, 4 P
gc 61 @1.642s 10%: 0.079+0.33+0.66+2.3+0.17 ms clock, 0.31+0.33+0+0/2.1/5.0+0.71 ms cpu, 10->10->7 MB, 7 MB goal, 4 P
gc 62 @1.672s 10%: 0.053+1.4+1.3+1.6+0.38 ms clock, 0.21+1.4+0+4.1/1.6/0+1.5 ms cpu, 12->13->2 MB, 14 MB goal, 4 P
gc 63 @1.681s 10%: 0.048+5.0+0.012+2.8+1.0 ms clock, 0.19+5.0+0+1.8/2.7/0+4.2 ms cpu, 4->5->3 MB, 4 MB goal, 4 P
gc 64 @1.693s 10%: 0.29+9.1+0.027+0.17+0.67 ms clock, 1.1+9.1+0+7.3/0.006/0.14+2.7 ms cpu, 4->5->4 MB, 4 MB goal, 4 P
gc 65 @1.707s 10%: 0.030+11+0.009+0.10+0.63 ms clock, 0.12+11+0+8.4/0.007/0.13+2.5 ms cpu, 5->6->4 MB, 5 MB goal, 4 P
gc 66 @1.724s 10%: 0.030+15+0.001+0.093+0.73 ms clock, 0.12+15+0+8.8/0.006/0.22+2.9 ms cpu, 6->7->5 MB, 6 MB goal, 4 P
gc 67 @1.745s 11%: 0.068+20+0.001+0.35+1.1 ms clock, 0.27+20+0+11/0.006/0.53+4.5 ms cpu, 8->9->6 MB, 8 MB goal, 4 P
gc 68 @1.774s 11%: 0.026+28+0.001+0.12+1.0 ms clock, 0.10+28+0+12/0.017/0.63+4.0 ms cpu, 9->11->8 MB, 9 MB goal, 4 P
gc 69 @1.877s 11%: 0.033+39+0.002+0.13+0.98 ms clock, 0.13+39+0+16/0.004/6.3+3.9 ms cpu, 13->14->9 MB, 13 MB goal, 4 P
gc 70 @1.941s 12%: 0.052+30+0.001+0.12+0.56 ms clock, 0.20+30+0+12/0.019/0.68+2.2 ms cpu, 17->18->10 MB, 18 MB goal, 4 P
gc 71 @2.032s 12%: 0.079+35+0.10+0.19+0.62 ms clock, 0.31+35+0+7.7/0.015/10+2.5 ms cpu, 18->18->10 MB, 18 MB goal, 4 P
gc 72 @2.081s 12%: 0.056+29+0.15+0.13+0.51 ms clock, 0.22+29+0+11/0.006/4.1+2.0 ms cpu, 18->19->10 MB, 18 MB goal, 4 P
gc 73 @2.165s 12%: 0.039+35+0.001+0.11+0.53 ms clock, 0.15+35+0+4.2/0.014/17+2.1 ms cpu, 18->19->11 MB, 19 MB goal, 4 P
gc 74 @2.224s 12%: 0.040+29+0.001+0.25+0.46 ms clock, 0.16+29+0+14/0.006/0.71+1.8 ms cpu, 19->20->11 MB, 20 MB goal, 4 P
gc 75 @2.305s 12%: 0.040+41+0.008+0.16+0.52 ms clock, 0.16+41+0+3.6/0.004/20+2.1 ms cpu, 20->21->11 MB, 21 MB goal, 4 P
gc 76 @2.356s 12%: 0.059+38+0.15+0.18+0.60 ms clock, 0.23+38+0+2.8/0.010/21+2.4 ms cpu, 20->21->11 MB, 21 MB goal, 4 P
gc 77 @2.456s 12%: 0.055+41+0.001+0.13+0.97 ms clock, 0.22+41+0+2.9/0.001/27+3.8 ms cpu, 21->21->13 MB, 21 MB goal, 4 P
gc 78 @2.570s 12%: 0.060+29+0.17+1.4+0.46 ms clock, 0.24+29+0+16/1.2/13+1.8 ms cpu, 25->25->16 MB, 25 MB goal, 4 P
gc 79 @2.625s 12%: 0.069+29+0.032+0.17+0.75 ms clock, 0.27+29+0+20/0.008/10+3.0 ms cpu, 29->30->16 MB, 30 MB goal, 4 P
gc 80 @2.666s 13%: 0.071+34+0.001+0.11+0.48 ms clock, 0.28+34+0+1.6/0.016/40+1.9 ms cpu, 30->31->16 MB, 31 MB goal, 4 P
gc 81 @2.835s 12%: 0.064+34+0.001+0.24+0.48 ms clock, 0.25+34+0+10/0.005/22+1.9 ms cpu, 30->31->14 MB, 31 MB goal, 4 P
gc 82 @2.884s 12%: 0.066+30+0.001+0.098+0.49 ms clock, 0.26+30+0+17/0.008/7.3+1.9 ms cpu, 26->27->14 MB, 27 MB goal, 4 P
gc 83 @2.924s 13%: 0.068+39+0.002+0.13+1.0 ms clock, 0.27+39+0+2.7/0.010/30+4.0 ms cpu, 25->26->14 MB, 26 MB goal, 4 P
gc 84 @3.050s 13%: 0.071+29+0.001+0.11+0.48 ms clock, 0.28+29+0+19/0.015/5.4+1.9 ms cpu, 26->27->14 MB, 26 MB goal, 4 P
gc 85 @3.091s 13%: 0.072+40+0.12+0.13+0.65 ms clock, 0.28+40+0+2.0/0.037/33+2.6 ms cpu, 27->28->15 MB, 27 MB goal, 4 P
gc 86 @3.141s 13%: 0.085+34+0.080+0.096+0.51 ms clock, 0.34+34+0+11/0.006/25+2.0 ms cpu, 27->28->15 MB, 28 MB goal, 4 P
gc 87 @3.246s 13%: 0.083+34+0.001+0.19+0.63 ms clock, 0.33+34+0+19/0.011/12+2.5 ms cpu, 27->28->15 MB, 28 MB goal, 4 P
gc 88 @3.298s 13%: 0.10+33+0.003+0.18+0.73 ms clock, 0.43+33+0+16/0.009/17+2.9 ms cpu, 29->30->16 MB, 28 MB goal, 4 P
gc 89 @3.361s 13%: 0.058+32+0.16+0.093+0.54 ms clock, 0.23+32+0+15/0.001/22+2.1 ms cpu, 30->31->18 MB, 31 MB goal, 4 P
gc 90 @3.489s 13%: 0.069+33+0.11+0.19+0.68 ms clock, 0.27+33+0+16/0.004/21+2.7 ms cpu, 34->34->17 MB, 34 MB goal, 4 P
gc 91 @3.571s 13%: 0.062+39+0.19+0.10+0.63 ms clock, 0.24+39+0+18/0.008/42+2.5 ms cpu, 32->33->23 MB, 33 MB goal, 4 P
gc 92 @3.782s 13%: 0.063+33+0.083+3.2+0.52 ms clock, 0.25+33+0+16/3.1/33+2.0 ms cpu, 43->43->23 MB, 44 MB goal, 4 P
gc 93 @4.105s 12%: 0.068+36+0.079+0.096+0.53 ms clock, 0.27+36+0+10/0/35+2.1 ms cpu, 43->44->19 MB, 45 MB goal, 4 P
gc 94 @4.185s 12%: 0.078+32+4.6+0.10+0.84 ms clock, 0.31+32+0+27/0.006/31+3.3 ms cpu, 36->38->28 MB, 36 MB goal, 4 P
gc 95 @4.346s 12%: 0.074+35+1.0+0.20+2.3 ms clock, 0.29+35+0+32/0.028/31+9.5 ms cpu, 51->52->32 MB, 53 MB goal, 4 P
gc 96 @4.558s 12%: 0.13+37+0.52+0.098+0.73 ms clock, 0.52+37+0+0.87/0.007/75+2.9 ms cpu, 61->62->30 MB, 62 MB goal, 4 P
gc 97 @4.913s 11%: 0.096+36+0.001+0.097+0.55 ms clock, 0.38+36+0+15/0.004/34+2.2 ms cpu, 57->58->23 MB, 58 MB goal, 4 P
gc 98 @5.043s 11%: 0.087+45+0.001+0.13+1.1 ms clock, 0.34+45+0+25/0.016/58+4.5 ms cpu, 44->45->29 MB, 45 MB goal, 4 P
gc 99 @5.225s 11%: 0.076+43+0.011+0.16+0.81 ms clock, 0.30+43+0+24/0.018/59+3.2 ms cpu, 55->56->33 MB, 56 MB goal, 4 P
gc 100 @5.424s 11%: 0.083+35+0.32+9.6+0.66 ms clock, 0.33+35+0+18/9.5/54+2.6 ms cpu, 64->65->34 MB, 64 MB goal, 4 P
gc 101 @5.811s 11%: 0.10+31+0.019+0.094+0.55 ms clock, 0.42+31+0+27/0.007/17+2.2 ms cpu, 64->65->25 MB, 66 MB goal, 4 P
gc 102 @5.991s 10%: 0.087+36+0.001+0.094+0.54 ms clock, 0.35+36+0+1.2/0.001/58+2.1 ms cpu, 48->49->25 MB, 50 MB goal, 4 P
gc 103 @6.105s 10%: 0.075+38+0.001+0.12+0.66 ms clock, 0.30+38+0+20/0.015/44+2.6 ms cpu, 48->49->25 MB, 49 MB goal, 4 P
gc 104 @6.189s 10%: 0.12+33+0.001+0.67+0.92 ms clock, 0.48+33+0+7.1/0.45/55+3.6 ms cpu, 48->48->25 MB, 49 MB goal, 4 P
gc 105 @6.295s 11%: 0.13+43+0.017+0.20+0.63 ms clock, 0.55+43+0+17/0.004/65+2.5 ms cpu, 49->50->36 MB, 50 MB goal, 4 P
gc 106 @6.488s 11%: 0.093+32+0.056+21+0.93 ms clock, 0.37+32+0+20/21/67+3.7 ms cpu, 70->71->50 MB, 71 MB goal, 4 P
gc 107 @6.802s 10%: 0.10+41+0.77+10+0.70 ms clock, 0.41+41+0+24/9.9/71+2.8 ms cpu, 96->97->48 MB, 98 MB goal, 4 P
gc 108 @7.046s 10%: 0.11+48+0.28+0.36+0.59 ms clock, 0.44+48+0+16/0.29/96+2.3 ms cpu, 92->94->50 MB, 94 MB goal, 4 P
gc 109 @7.323s 10%: 0.10+35+14+0.11+1.0 ms clock, 0.41+35+0+40/0.017/63+4.1 ms cpu, 95->96->52 MB, 97 MB goal, 4 P
gc 110 @8.033s 9%: 0.10+36+0.001+0.25+0.83 ms clock, 0.42+36+0+26/0.018/31+3.3 ms cpu, 99->100->35 MB, 101 MB goal, 4 P
gc 111 @8.180s 9%: 0.12+50+0.001+0.11+0.63 ms clock, 0.48+50+0+28/0.001/75+2.5 ms cpu, 65->67->38 MB, 67 MB goal, 4 P
gc 112 @8.515s 9%: 0.12+48+0.002+0.17+1.2 ms clock, 0.50+48+0+26/0.005/55+4.9 ms cpu, 73->74->36 MB, 74 MB goal, 4 P
gc 113 @8.698s 9%: 0.12+39+0.12+0.098+0.68 ms clock, 0.48+39+0+22/0.013/50+2.7 ms cpu, 68->69->37 MB, 70 MB goal, 4 P
gc 114 @8.815s 9%: 0.12+47+0.14+0.17+0.59 ms clock, 0.51+47+0+19/0.006/66+2.3 ms cpu, 70->75->38 MB, 72 MB goal, 4 P
gc 115 @8.952s 9%: 0.12+36+0.089+3.0+0.87 ms clock, 0.49+36+0+33/2.7/40+3.5 ms cpu, 65->66->39 MB, 67 MB goal, 4 P
gc 116 @9.101s 9%: 0.10+42+0.001+0.11+0.62 ms clock, 0.43+42+0+25/0.016/64+2.5 ms cpu, 73->75->41 MB, 75 MB goal, 4 P
gc 117 @9.274s 9%: 0.12+40+0.008+0.23+0.61 ms clock, 0.48+40+0+27/0.058/76+2.4 ms cpu, 78->79->43 MB, 80 MB goal, 4 P
gc 118 @9.424s 9%: 0.11+37+2.0+3.1+0.96 ms clock, 0.47+37+0+32/3.1/59+3.8 ms cpu, 63->65->42 MB, 65 MB goal, 4 P
gc 119 @9.591s 9%: 0.13+40+0.001+0.29+0.61 ms clock, 0.53+40+0+33/0.14/73+2.4 ms cpu, 80->82->43 MB, 82 MB goal, 4 P
gc 120 @9.749s 10%: 0.11+42+0.58+7.7+0.62 ms clock, 0.44+42+0+35/7.6/67+2.5 ms cpu, 96->96->52 MB, 84 MB goal, 4 P
gc 121 @9.939s 9%: 0.10+51+0.001+0.23+0.62 ms clock, 0.42+51+0+5.8/0.048/111+2.5 ms cpu, 91->96->57 MB, 104 MB goal, 4 P
gc 122 @10.093s 10%: 0.26+30+0.042+32+0.57 ms clock, 1.0+30+0+10/32/84+2.2 ms cpu, 97->103->59 MB, 106 MB goal, 4 P
gc 123 @10.298s 9%: 0.10+40+0.14+7.5+0.79 ms clock, 0.43+40+0+8.4/7.4/116+3.1 ms cpu, 105->106->56 MB, 108 MB goal, 4 P
gc 124 @10.504s 10%: 0.51+52+0.001+0.10+0.84 ms clock, 2.0+52+0+43/0.002/99+3.3 ms cpu, 109->111->60 MB, 112 MB goal, 4 P
gc 125 @10.688s 10%: 0.15+27+1.7+27+0.57 ms clock, 0.62+27+0+36/27/79+2.2 ms cpu, 114->115->60 MB, 116 MB goal, 4 P
gc 126 @10.907s 10%: 0.11+42+1.2+11+0.64 ms clock, 0.45+42+0+48/10/106+2.5 ms cpu, 115->117->63 MB, 118 MB goal, 4 P
gc 127 @11.135s 10%: 0.10+45+0.030+10+0.81 ms clock, 0.40+45+0+8.8/10/151+3.2 ms cpu, 119->119->63 MB, 122 MB goal, 4 P
gc 128 @11.267s 10%: 0.14+83+0.001+0.13+0.60 ms clock, 0.57+83+0+72/0.009/161+2.4 ms cpu, 122->124->68 MB, 125 MB goal, 4 P
gc 129 @11.403s 10%: 0.10+40+10+12+0.70 ms clock, 0.43+40+0+51/12/122+2.8 ms cpu, 128->130->68 MB, 131 MB goal, 4 P
gc 130 @11.543s 10%: 0.10+45+1.2+16+0.74 ms clock, 0.42+45+0+53/16/122+2.9 ms cpu, 128->131->69 MB, 132 MB goal, 4 P
